time, axm_ori, aym_ori, azm_ori, axl_ori, ayl_ori, azl_ori, axm, aym, azm, axl, ayl, azl, acc1x, acc1y, acc1z, acc2x, acc2y, acc2z, acc3x, acc3y, acc3z
1468176032132523,-0.0126953,0.0166016,0.934082,0.002196,0.049044,0.981612,0.00100469,0.00390156,0.997082,-0.002404,0.023944,0.985912,0,0,0,0,0,0,0,0,0,
1468176032138587,-0.0180664,0.0131836,0.934082,-0.173484,0.598776,-1.0087,-0.00436641,0.000483594,0.997082,-0.178084,0.573676,-1.0044,0,0,0,0,0,0,0,0,0,
1468176032144650,-0.00976562,0.0263672,0.930176,-0.101016,0.469212,-0.203496,0.00393438,0.0136672,0.993176,-0.105616,0.444112,-0.199196,0,0,0,0,0,0,0,0,0,
1468176032150706,-0.0195312,0.0234375,0.918457,-0.005124,0.044652,0.986736,-0.00583125,0.0107375,0.981457,-0.009724,0.019552,0.991036,0,0,0,0,0,0,0,0,0,
1468176032156908,-0.019043,0.03125,0.935059,0.005856,0.04026,0.976488,-0.00534297,0.01855,0.998059,0.001256,0.01516,0.980788,0,0,0,0,0,0,0,0,0,
1468176032162967,-0.00830078,0.0195312,0.933105,0.000732,0.056364,0.972828,0.00539922,0.00683125,0.996105,-0.003868,0.031264,0.977128,0,0,0,0,0,0,0,0,0,
1468176032169030,-0.015625,0.0253906,0.937012,-0.002196,0.049776,0.976488,-0.001925,0.0126906,1.00001,-0.006796,0.024676,0.980788,0,0,0,0,0,0,0,0,0,
1468176032175311,-0.015625,0.0161133,0.937988,0.002196,0.046848,0.97356,-0.001925,0.00341328,1.00099,-0.002404,0.021748,0.97786,0,0,0,0,0,0,0,0,0,
1468176032181371,-0.019043,0.0195312,0.930176,0.002196,0.042456,0.97722,-0.00534297,0.00683125,0.993176,-0.002404,0.017356,0.98152,0,0,0,0,0,0,0,0,0,
1468176032187429,-0.00927734,0.0146484,0.918457,0.002196,0.045384,0.975756,0.00442266,0.00194844,0.981457,-0.002404,0.020284,0.980056,0,0,0,0,0,0,0,0,0,
1468176032193488,-0.0175781,0.0185547,0.931641,0.001464,0.043188,0.975756,-0.00387812,0.00585469,0.994641,-0.003136,0.018088,0.980056,0,0,0,0,0,0,0,0,0,
1468176032199548,-0.00830078,0.0253906,0.9375,-0.001464,0.046848,0.971364,0.00539922,0.0126906,1.0005,-0.006064,0.021748,0.975664,0,0,0,0,0,0,0,0,0,
1468176032205609,-0.0146484,0.0151367,0.929688,-0.002196,0.042456,0.964044,-0.000948437,0.00243672,0.992688,-0.006796,0.017356,0.968344,0,0,0,0,0,0,0,0,0,
