time, attx, atty, attz, accx, accy, accz, acc_raw1x, acc_raw1y, acc_raw1z, acc_raw2x, acc_raw2y, acc_raw2z, velx, vely, velz, vel_raw1x, vel_raw1y, vel_raw1z, vel_raw2x, vel_raw2y, vel_raw2z, locx, locy, locz, loc_raw1x, loc_raw1y, loc_raw1z, loc_raw2x, loc_raw2y, loc_raw2z,
1468353515076581,0.0116422,0.0258037,1.45032,0,0,0,0.175029,-0.111487,0.0808242,0.0308594,-0.190369,-0.0942162,0,0,0,0.175029,-0.111487,0.0808242,0.0308594,-0.190369,-0.0942162,0,0,0,0.000875145,-0.000557435,0.000404121,0.000154297,-0.000951843,-0.000471081,
1468353515086621,0.0116654,0.0258184,1.45181,0,0,0,0.147,-0.0999262,0.00911153,0.0149698,-0.279024,0.0302642,0,0,0,0.497057,-0.3229,0.17076,0.0766886,-0.659761,-0.158168,0,0,0,0.00423558,-0.00272937,0.00166204,0.000692037,-0.00520249,-0.001733,
1468353515096658,0.0116883,0.0258335,1.4533,0,0,0,0.0699913,-0.0652054,0.0525193,0.0334576,-0.245981,-0.0138818,0,0,0,0.714048,-0.488032,0.232391,0.125116,-1.18476,-0.141786,0,0,0,0.0102911,-0.00678403,0.00367779,0.00170106,-0.0144251,-0.00323277,
1468353515106706,0.0117387,0.0258408,1.45476,0,0,0,0.14588,-0.168904,0.106631,-0.0151372,-0.174927,-0.00770341,0,0,0,0.929919,-0.722142,0.391541,0.143437,-1.60567,-0.163371,0,0,0,0.0185109,-0.0128349,0.00679745,0.00304382,-0.0283773,-0.00475855,
1468353515116754,0.0117625,0.025848,1.45622,0,0,0,0.0902749,-0.0904352,-0.100437,0.00740207,-0.229322,-0.0569698,0,0,0,1.16607,-0.981481,0.397734,0.135702,-2.00992,-0.228044,0,0,0,0.0289909,-0.021353,0.0107438,0.00443952,-0.0464553,-0.00671563,
1468353515126787,0.011802,0.0258685,1.45782,0,0,0,0.206949,-0.0489819,-0.0504507,0.0509648,-0.234023,-0.0574749,0,0,0,1.4633,-1.1209,0.246847,0.194068,-2.47327,-0.342489,0,0,0,0.0421378,-0.0318649,0.0139667,0.00608836,-0.0688712,-0.0095683,
1468353515136834,0.0118263,0.0258974,1.45942,0,0,0,0.152487,-0.10155,-0.105839,0.0636293,-0.191523,-0.0514952,0,0,0,1.82273,-1.27143,0.090557,0.308662,-2.89881,-0.451459,0,0,0,0.0585679,-0.0438265,0.0156538,0.00860202,-0.0957316,-0.013538,
1468353515146869,0.0118551,0.0259073,1.46086,0,0,0,0.138221,-0.147675,-0.0997025,0.0541728,-0.212852,-0.0867296,0,0,0,2.11344,-1.52065,-0.114984,0.426465,-3.30318,-0.589684,0,0,0,0.0782488,-0.057787,0.0155316,0.0122777,-0.126742,-0.0187437,
1468353515156910,0.0118801,0.0259373,1.46228,0,0,0,0.166872,-0.119152,-0.0145756,0.0457431,-0.226527,-0.107795,0,0,0,2.41853,-1.78748,-0.229262,0.52638,-3.74256,-0.784209,0,0,0,0.100909,-0.0743276,0.0138104,0.0170419,-0.16197,-0.0256132,
1468353515166948,0.0119203,0.0259587,1.46386,0,0,0,0.0978276,-0.044947,-0.0584855,0.0203045,-0.21344,-3.50713e-06,0,0,0,2.68323,-1.95158,-0.302324,0.592428,-4.18253,-0.892007,0,0,0,0.126418,-0.0930229,0.0111525,0.0226359,-0.201596,-0.0339943,
1468353515176985,0.0119438,0.0259733,1.46528,0,0,0,0.180365,-0.0909335,-0.0202297,0.075626,-0.229139,-0.108134,0,0,0,2.96143,-2.08746,-0.381039,0.688358,-4.62511,-1.00014,0,0,0,0.154641,-0.113218,0.00773564,0.0290399,-0.245634,-0.0434551,
1468353515187022,0.0119709,0.0259831,1.46685,0,0,0,0.112194,-0.102533,-0.0141484,0.0681327,-0.175909,-0.0446896,0,0,0,3.25399,-2.28093,-0.415417,0.832117,-5.03016,-1.15297,0,0,0,0.185718,-0.13506,0.00375336,0.0366422,-0.29391,-0.0542206,
1468353515197059,0.0120001,0.0260119,1.46837,0,0,0,0.145103,-0.154955,-0.0660141,0.0795345,-0.212365,-0.0295745,0,0,0,3.51128,-2.53842,-0.495579,0.979784,-5.41843,-1.22723,0,0,0,0.219544,-0.159157,-0.000801617,0.0457017,-0.346153,-0.0661216,
