time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348070366313,0.00652121,0.0144399,1.35389,0,0,0,0,0,0,0,0,0,
1468348070376355,0.00655083,0.0144651,1.35534,0,0,0,0,0,0,0,0,0,
1468348070386392,0.00659425,0.0145042,1.35677,0,0,0,0,0,0,0,0,0,
1468348070396432,0.00661397,0.0145391,1.35806,0,0,0,0,0,0,0,0,0,
1468348070406470,0.00664061,0.0145443,1.35947,0,0,0,0,0,0,0,0,0,
1468348070416508,0.00667086,0.0145616,1.36089,0,0,0,0,0,0,0,0,0,
1468348070426544,0.00669317,0.0145908,1.36244,0,0,0,0,0,0,0,0,0,
1468348070436584,0.00674462,0.0146134,1.36398,0,0,0,0,0,0,0,0,0,
1468348070446622,0.00676062,0.0146595,1.36547,0,0,0,0,0,0,0,0,0,
1468348070456661,0.00679905,0.014684,1.36686,0,0,0,0,0,0,0,0,0,
1468348070466707,0.00684235,0.0147001,1.36836,0,0,0,0,0,0,0,0,0,
1468348070476741,0.00687179,0.0147336,1.36987,0,0,0,0,0,0,0,0,0,
1468348070486776,0.00688773,0.0147573,1.37136,0,0,0,0,0,0,0,0,0,
1468348070496814,0.00691537,0.0147876,1.37285,0,0,0,0,0,0,0,0,0,
1468348070506853,0.00693943,0.014801,1.37416,0,0,0,0,0,0,0,0,0,
1468348070516892,0.00697731,0.0148455,1.37562,0,0,0,0,0,0,0,0,0,
1468348070526928,0.00701995,0.014871,1.37719,0,0,0,0,0,0,0,0,0,
1468348070536968,0.00703143,0.0149044,1.37861,0,0,0,0,0,0,0,0,0,
1468348070547005,0.00706105,0.0149213,1.38005,0,0,0,0,0,0,0,0,0,
1468348070557043,0.00708274,0.0149633,1.38162,0,0,0,0,0,0,0,0,0,
1468348070567080,0.00712223,0.0149961,1.38318,0,0,0,0,0,0,0,0,0,
1468348070577117,0.00717953,0.0150179,1.38472,0,0,0,0,0,0,0,0,0,
1468348070587152,0.00720799,0.0150446,1.3861,0,0,0,0,0,0,0,0,0,
1468348070597188,0.00724286,0.0150508,1.38745,0,0,0,0,0,0,0,0,0,
1468348070607225,0.00725683,0.0150811,1.38898,0,0,0,0,0,0,0,0,0,
1468348070617262,0.00727452,0.0151224,1.39046,0,0,0,0,0,0,0,0,0,
1468348070627304,0.00731649,0.0151418,1.39211,0,0,0,0,0,0,0,0,0,
1468348070637341,0.00735425,0.0151621,1.39357,0,0,0,0,0,0,0,0,0,
1468348070647389,0.00739406,0.0151608,1.3952,0,0,0,0,0,0,0,0,0,
1468348070657427,0.00743455,0.0151924,1.39664,0,0,0,0,0,0,0,0,0,
1468348070667474,0.00746267,0.0152262,1.39823,0,0,0,0,0,0,0,0,0,
1468348070677511,0.00750781,0.0152492,1.3998,0,0,0,0,0,0,0,0,0,
1468348070687559,0.00754,0.0152847,1.40138,0,0,0,0,0,0,0,0,0,
1468348070697606,0.00757188,0.0153126,1.40294,0,0,0,0,0,0,0,0,0,
