time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348627921308,0.0117076,0.00996722,1.2894,0,0,0,0,0,0,0,0,0,
1468348627931349,0.0117017,0.00999792,1.2906,0,0,0,0,0,0,0,0,0,
1468348627941384,0.0117544,0.00998639,1.29193,0,0,0,0,0,0,0,0,0,
1468348627951421,0.0117682,0.0100162,1.29322,0,0,0,0,0,0,0,0,0,
1468348627961457,0.0117984,0.0100319,1.29442,0,0,0,0,0,0,0,0,0,
1468348627971494,0.0118191,0.0100654,1.29573,0,0,0,0,0,0,0,0,0,
1468348627981531,0.0118597,0.0100875,1.29711,0,0,0,0,0,0,0,0,0,
1468348627991570,0.0118772,0.0101259,1.29853,0,0,0,0,0,0,0,0,0,
1468348628001607,0.0119099,0.0101487,1.29996,0,0,0,0,0,0,0,0,0,
1468348628011651,0.0119259,0.0101644,1.30167,0,0,0,0,0,0,0,0,0,
1468348628021689,0.0119249,0.0101704,1.30275,0,0,0,0,0,0,0,0,0,
1468348628031724,0.0119554,0.0101873,1.30412,0,0,0,0,0,0,0,0,0,
1468348628041762,0.0119674,0.0102132,1.30549,0,0,0,0,0,0,0,0,0,
1468348628051799,0.0120047,0.0102201,1.30688,0,0,0,0,0,0,0,0,0,
1468348628061836,0.0120154,0.0102472,1.30823,0,0,0,0,0,0,0,0,0,
1468348628071875,0.0120373,0.0102589,1.30956,0,0,0,0,0,0,0,0,0,
1468348628081913,0.0120569,0.0102744,1.31103,0,0,0,0,0,0,0,0,0,
1468348628091963,0.0120905,0.0102793,1.31275,0,0,0,0,0,0,0,0,0,
1468348628102010,0.0121437,0.0103014,1.31407,0,0,0,0,0,0,0,0,0,
1468348628112065,0.0121773,0.0103243,1.31592,0,0,0,0,0,0,0,0,0,
1468348628122104,0.012213,0.0103566,1.31705,0,0,0,0,0,0,0,0,0,
1468348628132141,0.0122282,0.0103893,1.31847,0,0,0,0,0,0,0,0,0,
1468348628142177,0.0122333,0.0104117,1.31988,0,0,0,0,0,0,0,0,0,
1468348628152215,0.0122479,0.0104264,1.3213,0,0,0,0,0,0,0,0,0,
1468348628162252,0.0122753,0.0104361,1.32269,0,0,0,0,0,0,0,0,0,
1468348628172288,0.012294,0.0104476,1.32406,0,0,0,0,0,0,0,0,0,
1468348628182325,0.0123043,0.0104758,1.32552,0,0,0,0,0,0,0,0,0,
1468348628192362,0.0123232,0.0104915,1.32703,0,0,0,0,0,0,0,0,0,
1468348628202400,0.0123509,0.0105013,1.32855,0,0,0,0,0,0,0,0,0,
1468348628212438,0.0123823,0.0105215,1.32989,0,0,0,0,0,0,0,0,0,
1468348628222477,0.01241,0.0105239,1.33138,0,0,0,0,0,0,0,0,0,
1468348628232520,0.0124336,0.010555,1.33285,0,0,0,0,0,0,0,0,0,
1468348628242564,0.0124619,0.010579,1.33417,0,0,0,0,0,0,0,0,0,
1468348628252602,0.012494,0.0105767,1.33561,0,0,0,0,0,0,0,0,0,
1468348628262646,0.0125201,0.0106056,1.33703,0,0,0,0,0,0,0,0,0,
1468348628272683,0.0125508,0.0106329,1.33845,0,0,0,0,0,0,0,0,0,
1468348628282721,0.0125892,0.0106425,1.33983,0,0,0,0,0,0,0,0,0,
1468348628292757,0.0125953,0.010663,1.34103,0,0,0,0,0,0,0,0,0,
1468348628302794,0.0126297,0.0106799,1.34234,0,0,0,0,0,0,0,0,0,
1468348628312831,0.0126511,0.010704,1.34365,0,0,0,0,0,0,0,0,0,
1468348628322869,0.0126828,0.0107305,1.34495,0,0,0,0,0,0,0,0,0,
1468348628332904,0.0127161,0.0107436,1.34625,0,0,0,0,0,0,0,0,0,
1468348628342941,0.0127322,0.0107469,1.34753,0,0,0,0,0,0,0,0,0,
1468348628352978,0.0127453,0.0107536,1.34867,0,0,0,0,0,0,0,0,0,
1468348628363014,0.0127768,0.0107603,1.34994,0,0,0,0,0,0,0,0,0,
1468348628373051,0.0127955,0.0107861,1.3512,0,0,0,0,0,0,0,0,0,
1468348628383090,0.0128051,0.0107867,1.35231,0,0,0,0,0,0,0,0,0,
1468348628393129,0.0128281,0.0107809,1.3535,0,0,0,0,0,0,0,0,0,
1468348628403167,0.0128412,0.0108022,1.35457,0,0,0,0,0,0,0,0,0,
1468348628413209,0.0128544,0.01081,1.3557,0,0,0,0,0,0,0,0,0,
1468348628423249,0.0128701,0.0108321,1.35668,0,0,0,0,0,0,0,0,0,
1468348628433287,0.0128825,0.010842,1.35792,0,0,0,0,0,0,0,0,0,
1468348628443324,0.0128631,0.0108695,1.35905,0,0,0,0,0,0,0,0,0,
1468348628453363,0.0128954,0.0108766,1.36018,0,0,0,0,0,0,0,0,0,
1468348628463400,0.012914,0.0108857,1.36129,0,0,0,0,0,0,0,0,0,
1468348628473438,0.0129128,0.0108974,1.36237,0,0,0,0,0,0,0,0,0,
1468348628483477,0.0129065,0.0108946,1.36332,0,0,0,0,0,0,0,0,0,
1468348628493522,0.0129247,0.0109024,1.36433,0,0,0,0,0,0,0,0,0,
1468348628503562,0.0129401,0.0109169,1.36521,0,0,0,0,0,0,0,0,0,
1468348628513611,0.0129558,0.0109181,1.36619,0,0,0,0,0,0,0,0,0,
1468348628523648,0.0129809,0.0109275,1.36716,0,0,0,0,0,0,0,0,0,
1468348628533686,0.0129848,0.010947,1.36813,0,0,0,0,0,0,0,0,0,
1468348628543724,0.0130095,0.0109631,1.36908,0,0,0,0,0,0,0,0,0,
1468348628553761,0.0130199,0.0109871,1.37002,0,0,0,0,0,0,0,0,0,
1468348628563799,0.0130313,0.010977,1.37095,0,0,0,0,0,0,0,0,0,
1468348628573836,0.013047,0.0110012,1.37188,0,0,0,0,0,0,0,0,0,
1468348628583874,0.0130522,0.0110071,1.37277,0,0,0,0,0,0,0,0,0,
1468348628593912,0.0130717,0.0110252,1.37358,0,0,0,0,0,0,0,0,0,
1468348628603951,0.0130984,0.0110211,1.37458,0,0,0,0,0,0,0,0,0,
1468348628613991,0.0130918,0.0110268,1.3752,0,0,0,0,0,0,0,0,0,
1468348628624033,0.0130843,0.0110251,1.37619,0,0,0,0,0,0,0,0,0,
1468348628634070,0.0130973,0.0110368,1.37697,0,0,0,0,0,0,0,0,0,
1468348628644106,0.0130982,0.0110309,1.37774,0,0,0,0,0,0,0,0,0,
