time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348799889084,0.00864435,0.0124994,1.2721,0,0,0,0,0,0,0,0,0,
1468348799899124,0.0086766,0.0125219,1.2736,0,0,0,0,0,0,0,0,0,
1468348799909163,0.00870986,0.0125419,1.27493,0,0,0,0,0,0,0,0,0,
1468348799919198,0.00872897,0.0125556,1.27644,0,0,0,0,0,0,0,0,0,
1468348799929237,0.00875084,0.0125737,1.27805,0,0,0,0,0,0,0,0,0,
1468348799939274,0.00877342,0.0125995,1.27965,0,0,0,0,0,0,0,0,0,
1468348799949312,0.00879542,0.0126305,1.28124,0,0,0,0,0,0,0,0,0,
1468348799959349,0.00882076,0.0126592,1.28281,0,0,0,0,0,0,0,0,0,
1468348799969387,0.00885618,0.0126807,1.28438,0,0,0,0,0,0,0,0,0,
1468348799979429,0.00886352,0.0127223,1.28592,0,0,0,0,0,0,0,0,0,
1468348799989463,0.008891,0.0127339,1.28748,0,0,0,0,0,0,0,0,0,
1468348799999503,0.00891291,0.0127697,1.28903,0,0,0,0,0,0,0,0,0,
1468348800009541,0.0089362,0.0127914,1.29043,0,0,0,0,0,0,0,0,0,
1468348800019577,0.0089776,0.0128002,1.29181,0,0,0,0,0,0,0,0,0,
1468348800029615,0.00900055,0.012815,1.29349,0,0,0,0,0,0,0,0,0,
1468348800039651,0.00902551,0.0128324,1.29511,0,0,0,0,0,0,0,0,0,
1468348800049691,0.00905333,0.0128528,1.29648,0,0,0,0,0,0,0,0,0,
1468348800059728,0.00907972,0.0128771,1.29811,0,0,0,0,0,0,0,0,0,
1468348800069764,0.00909063,0.0128794,1.29974,0,0,0,0,0,0,0,0,0,
1468348800079800,0.00912712,0.0128883,1.30119,0,0,0,0,0,0,0,0,0,
1468348800089837,0.00914555,0.0129088,1.30277,0,0,0,0,0,0,0,0,0,
1468348800099873,0.00916012,0.0129376,1.30436,0,0,0,0,0,0,0,0,0,
1468348800109910,0.00918735,0.01295,1.30593,0,0,0,0,0,0,0,0,0,
1468348800119945,0.00922919,0.0129646,1.30755,0,0,0,0,0,0,0,0,0,
1468348800129983,0.00927233,0.0129892,1.30925,0,0,0,0,0,0,0,0,0,
1468348800140019,0.00931433,0.0130174,1.31095,0,0,0,0,0,0,0,0,0,
1468348800150057,0.00932192,0.0130336,1.31263,0,0,0,0,0,0,0,0,0,
1468348800160095,0.00934082,0.0130608,1.31431,0,0,0,0,0,0,0,0,0,
1468348800170132,0.00936847,0.0130926,1.31597,0,0,0,0,0,0,0,0,0,
1468348800180168,0.00939472,0.0131023,1.31762,0,0,0,0,0,0,0,0,0,
1468348800190204,0.00941758,0.013114,1.31909,0,0,0,0,0,0,0,0,0,
1468348800200239,0.00944697,0.0131446,1.32073,0,0,0,0,0,0,0,0,0,
1468348800210276,0.00948817,0.0131748,1.32236,0,0,0,0,0,0,0,0,0,
1468348800220310,0.00950638,0.0131955,1.32396,0,0,0,0,0,0,0,0,0,
1468348800230348,0.00953035,0.0132305,1.32553,0,0,0,0,0,0,0,0,0,
1468348800240385,0.00956755,0.01325,1.3269,0,0,0,0,0,0,0,0,0,
1468348800250429,0.00960767,0.013266,1.32839,0,0,0,0,0,0,0,0,0,
1468348800260467,0.0096275,0.013276,1.3298,0,0,0,0,0,0,0,0,0,
1468348800270502,0.00963727,0.0132969,1.33131,0,0,0,0,0,0,0,0,0,
1468348800280539,0.00965207,0.0133221,1.33267,0,0,0,0,0,0,0,0,0,
1468348800290578,0.00967208,0.0133283,1.33416,0,0,0,0,0,0,0,0,0,
1468348800300615,0.00969653,0.0133506,1.33552,0,0,0,0,0,0,0,0,0,
1468348800310659,0.00971359,0.0133729,1.33684,0,0,0,0,0,0,0,0,0,
1468348800320696,0.0097374,0.0134036,1.33816,0,0,0,0,0,0,0,0,0,
1468348800330735,0.00977536,0.0134082,1.33938,0,0,0,0,0,0,0,0,0,
1468348800340774,0.00979002,0.0134115,1.34072,0,0,0,0,0,0,0,0,0,
1468348800350816,0.00982098,0.0134354,1.34208,0,0,0,0,0,0,0,0,0,
1468348800360854,0.00984803,0.0134622,1.34342,0,0,0,0,0,0,0,0,0,
1468348800370893,0.00987103,0.0134787,1.34475,0,0,0,0,0,0,0,0,0,
1468348800380930,0.00991197,0.0135111,1.34635,0,0,0,0,0,0,0,0,0,
1468348800390967,0.0099343,0.0135326,1.34764,0,0,0,0,0,0,0,0,0,
1468348800401005,0.00996025,0.0135443,1.34892,0,0,0,0,0,0,0,0,0,
1468348800411042,0.00997153,0.0135408,1.35019,0,0,0,0,0,0,0,0,0,
1468348800421092,0.00999014,0.0135552,1.35143,0,0,0,0,0,0,0,0,0,
1468348800431133,0.0100156,0.0135712,1.35264,0,0,0,0,0,0,0,0,0,
1468348800441187,0.0100221,0.0135976,1.35382,0,0,0,0,0,0,0,0,0,
1468348800451225,0.0100397,0.0136026,1.355,0,0,0,0,0,0,0,0,0,
1468348800461263,0.0100648,0.013618,1.35615,0,0,0,0,0,0,0,0,0,
1468348800471320,0.0100985,0.0136445,1.35728,0,0,0,0,0,0,0,0,0,
1468348800481368,0.0101088,0.0136489,1.35839,0,0,0,0,0,0,0,0,0,
1468348800491415,0.0101302,0.0136566,1.35947,0,0,0,0,0,0,0,0,0,
1468348800501449,0.0101436,0.0136704,1.36047,0,0,0,0,0,0,0,0,0,
1468348800511486,0.01015,0.0136727,1.36152,0,0,0,0,0,0,0,0,0,
1468348800521524,0.0101643,0.0136908,1.36251,0,0,0,0,0,0,0,0,0,
1468348800531585,0.0101909,0.0136843,1.36333,0,0,0,0,0,0,0,0,0,
1468348800541621,0.0101983,0.0136888,1.36419,0,0,0,0,0,0,0,0,0,
1468348800551660,0.010211,0.0137006,1.36505,0,0,0,0,0,0,0,0,0,
1468348800561697,0.0102096,0.0137192,1.36592,0,0,0,0,0,0,0,0,0,
1468348800571743,0.0102264,0.0137128,1.36687,0,0,0,0,0,0,0,0,0,
1468348800581780,0.0102323,0.0137254,1.36773,0,0,0,0,0,0,0,0,0,
1468348800591817,0.0102454,0.0137333,1.36867,0,0,0,0,0,0,0,0,0,
1468348800601855,0.010254,0.0137489,1.3696,0,0,0,0,0,0,0,0,0,
1468348800611892,0.0102623,0.0137606,1.37048,0,0,0,0,0,0,0,0,0,
1468348800621932,0.0102661,0.0137586,1.37112,0,0,0,0,0,0,0,0,0,
1468348800631974,0.0102914,0.0137604,1.37202,0,0,0,0,0,0,0,0,0,
1468348800642015,0.0102985,0.0137519,1.3727,0,0,0,0,0,0,0,0,0,
1468348800652057,0.0102982,0.0137691,1.37347,0,0,0,0,0,0,0,0,0,
1468348800662109,0.010311,0.0137766,1.37422,0,0,0,0,0,0,0,0,0,
1468348800672147,0.0103202,0.0137905,1.37497,0,0,0,0,0,0,0,0,0,
1468348800682185,0.0103225,0.0137819,1.3757,0,0,0,0,0,0,0,0,0,
1468348800692226,0.0103347,0.0137704,1.37636,0,0,0,0,0,0,0,0,0,
1468348800702270,0.0103316,0.0137717,1.37708,0,0,0,0,0,0,0,0,0,
1468348800712310,0.0103395,0.0137834,1.37778,0,0,0,0,0,0,0,0,0,
1468348800722358,0.0103557,0.0137844,1.3786,0,0,0,0,0,0,0,0,0,
1468348800732409,0.010356,0.013804,1.3792,0,0,0,0,0,0,0,0,0,
1468348800742462,0.0103614,0.0138087,1.37964,0,0,0,0,0,0,0,0,0,
1468348800752508,0.0103708,0.0137905,1.38017,0,0,0,0,0,0,0,0,0,
1468348800762597,0.0103733,0.0137866,1.3807,0,0,0,0,0,0,0,0,0,
1468348800772639,0.0103726,0.0137841,1.38132,0,0,0,0,0,0,0,0,0,
1468348800782676,0.0103699,0.0137877,1.38184,0,0,0,0,0,0,0,0,0,
1468348800792713,0.0103814,0.0137972,1.38239,0,0,0,0,0,0,0,0,0,
1468348800802751,0.0103672,0.0137901,1.3829,0,0,0,0,0,0,0,0,0,
1468348800812787,0.0103669,0.0137876,1.38339,0,0,0,0,0,0,0,0,0,
1468348800822828,0.0103796,0.0137747,1.38393,0,0,0,0,0,0,0,0,0,
1468348800832866,0.0103752,0.0137639,1.38438,0,0,0,0,0,0,0,0,0,
1468348800842911,0.0103687,0.0137537,1.38484,0,0,0,0,0,0,0,0,0,
1468348800852950,0.0103812,0.0137483,1.38532,0,0,0,0,0,0,0,0,0,
1468348800862993,0.0103785,0.0137419,1.3858,0,0,0,0,0,0,0,0,0,
1468348800873049,0.0103533,0.0137449,1.38623,0,0,0,0,0,0,0,0,0,
1468348800883086,0.0103554,0.0137555,1.38669,0,0,0,0,0,0,0,0,0,
1468348800893137,0.01036,0.0137411,1.38717,0,0,0,0,0,0,0,0,0,
1468348800903180,0.0103663,0.013755,1.38765,0,0,0,0,0,0,0,0,0,
1468348800913227,0.0103524,0.0137484,1.3881,0,0,0,0,0,0,0,0,0,
1468348800923263,0.0103439,0.0137495,1.38852,0,0,0,0,0,0,0,0,0,
1468348800933300,0.0103429,0.0137542,1.38888,0,0,0,0,0,0,0,0,0,
1468348800943338,0.0103262,0.0137516,1.38925,0,0,0,0,0,0,0,0,0,
1468348800953386,0.0103309,0.0137484,1.38963,0,0,0,0,0,0,0,0,0,
1468348800963437,0.010327,0.01374,1.39001,0,0,0,0,0,0,0,0,0,
1468348800973480,0.01032,0.0137225,1.3904,0,0,0,0,0,0,0,0,0,
1468348800983522,0.0103201,0.0137063,1.39073,0,0,0,0,0,0,0,0,0,
1468348800993558,0.0103041,0.0136979,1.39109,0,0,0,0,0,0,0,0,0,
1468348801003594,0.0102942,0.0137098,1.39145,0,0,0,0,0,0,0,0,0,
1468348801013638,0.0102788,0.0137018,1.3918,0,0,0,0,0,0,0,0,0,
1468348801023676,0.0102603,0.0137259,1.39212,0,0,0,0,0,0,0,0,0,
1468348801033711,0.0102451,0.0137388,1.39241,0,0,0,0,0,0,0,0,0,
1468348801043747,0.0102265,0.0137385,1.39263,0,0,0,0,0,0,0,0,0,
1468348801053810,0.0102018,0.0137438,1.39287,0,0,0,0,0,0,0,0,0,
1468348801063843,0.0101701,0.0137365,1.3931,0,0,0,0,0,0,0,0,0,
1468348801073879,0.0101593,0.0137377,1.39334,0,0,0,0,0,0,0,0,0,
1468348801083921,0.0101565,0.0137395,1.39361,0,0,0,0,0,0,0,0,0,
1468348801093963,0.0101449,0.0137372,1.39389,0,0,0,0,0,0,0,0,0,
1468348801103998,0.0101329,0.0137401,1.39413,0,0,0,0,0,0,0,0,0,
1468348801114034,0.0101076,0.0137129,1.39435,0,0,0,0,0,0,0,0,0,
1468348801124069,0.0101317,0.0136781,1.39455,0,0,0,0,0,0,0,0,0,
1468348801134105,0.0101103,0.0136679,1.39471,0,0,0,0,0,0,0,0,0,
1468348801144142,0.0101182,0.013648,1.39485,0,0,0,0,0,0,0,0,0,
1468348801154179,0.0101203,0.0136186,1.39502,0,0,0,0,0,0,0,0,0,
1468348801164217,0.0101299,0.0135957,1.39518,0,0,0,0,0,0,0,0,0,
1468348801174254,0.0101074,0.013593,1.39533,0,0,0,0,0,0,0,0,0,
1468348801184290,0.0101073,0.0135623,1.39551,0,0,0,0,0,0,0,0,0,
1468348801194327,0.0101288,0.0135311,1.39568,0,0,0,0,0,0,0,0,0,
1468348801204363,0.0101194,0.0135074,1.39586,0,0,0,0,0,0,0,0,0,
1468348801214401,0.0101596,0.0134819,1.396,0,0,0,0,0,0,0,0,0,
1468348801224466,0.0101796,0.0134412,1.39612,0,0,0,0,0,0,0,0,0,
1468348801234516,0.010173,0.0134212,1.3962,0,0,0,0,0,0,0,0,0,
1468348801244554,0.0101699,0.0134134,1.39627,0,0,0,0,0,0,0,0,0,
1468348801254591,0.010161,0.0133997,1.39636,0,0,0,0,0,0,0,0,0,
1468348801264639,0.0101281,0.0134081,1.39644,0,0,0,0,0,0,0,0,0,
1468348801274674,0.0101801,0.0133523,1.39653,0,0,0,0,0,0,0,0,0,
1468348801284717,0.010171,0.0133245,1.39662,0,0,0,0,0,0,0,0,0,
1468348801294754,0.010157,0.013305,1.39671,0,0,0,0,0,0,0,0,0,
1468348801304793,0.0102729,0.0131808,1.39681,0,0,0,0,0,0,0,0,0,
1468348801314836,0.0103224,0.0130958,1.39691,0,0,0,0,0,0,0,0,0,
1468348801324875,0.0105832,0.0128787,1.39699,0,-0.0344668,0,0,-0.000172334,0,0,-8.61671e-07,0,
1468348801334914,0.011315,0.0122714,1.39696,0.0305429,-0.0344668,0,0.000152714,-0.000517003,0,7.63572e-07,-4.30836e-06,0,
1468348801344965,0.0129503,0.0109055,1.39686,0.088027,-0.0344668,0,0.000745564,-0.000861671,0,5.25496e-06,-1.12017e-05,0,
1468348801355014,0.014684,0.00955981,1.39667,0.127216,-0.0344668,0,0.00182178,-0.00120634,0,1.80917e-05,-2.15418e-05,0,
1468348801365050,0.0161223,0.00849007,1.3965,0.127216,-0.0344668,0,0.00309395,-0.00155101,0,4.26703e-05,-3.53285e-05,0,
1468348801375087,0.0171856,0.00774817,1.39646,0.127216,-0.0344668,0,0.00436611,-0.00189568,0,7.99706e-05,-5.25619e-05,0,
1468348801385125,0.0179617,0.00721852,1.39662,0.127216,-0.0344668,0,0.00563828,-0.00224035,0,0.000129993,-7.32421e-05,0,
1468348801395166,0.018404,0.00689438,1.39716,0.127216,-0.0344668,0,0.00691044,-0.00258501,0,0.000192736,-9.73688e-05,0,
1468348801405218,0.0187122,0.00668594,1.39843,0.127216,-0.0344668,0,0.0081826,-0.00292968,0,0.000268201,-0.000124942,0,
1468348801415256,0.0183142,0.00692988,1.401,0.127216,-0.0344668,0,0.00945477,-0.00327435,0,0.000356388,-0.000155962,0,
1468348801425297,0.0173948,0.00755384,1.40365,0.127216,-0.0344668,0,0.0107269,-0.00361902,0,0.000457297,-0.000190429,0,
